Nº Prueba;Tiempo medio procesar;Varianza tiempo procesar;Tiempo medio encriptar;Varianza tiempo encriptar;Tiempo envio;Tiempo total;
12;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00015219926834106445420920217248550443400745280087;0.00000229329711107197781939817486651644884432243998;1.23446154594421386718750000000000000000000000000000;1.24968147277832031250000000000000000000000000000000;
13;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00030871391296386716798436089526092018786584958434;0.00000467058727817857193752261110719636860721948324;1.23445987701416015625000000000000000000000000000000;1.26533126831054687500000000000000000000000000000000;
14;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00015242338180541990886457393017394679191056638956;0.00000230005584477908198132818304304514356317667989;1.21888113021850585937500000000000000000000000000000;1.24970817565917968750000000000000000000000000000000;
15;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00030862569808959961588021303491302660404471680522;0.00000466792849858279726866236783444641389451135183;1.24966955184936523437500000000000000000000000000000;1.28053212165832519531250000000000000000000000000000;
16;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00015660524368286133354601086242752217003726400435;0.00000242799503254787029488896005213760531660227571;1.21887993812561035156250000000000000000000000000000;1.25012159347534179687500000000000000000000000000000;
17;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00030871152877807615452776524023192905588075518608;0.00000467056609756468717626351830340958315446187044;1.23404383659362792968750000000000000000000000000000;1.26491498947143554687500000000000000000000000000000;
18;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00015579938888549805338021303491302660404471680522;0.00000240307150813237124038681397086847368882445153;1.22211575508117675781250000000000000000000000000000;1.25335907936096191406250000000000000000000000000000;
19;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00027992248535156248265276524023192905588075518608;0.00000104105875116147227471281432736871508382137108;1.23506164550781250000000000000000000000000000000000;1.26705408096313476562500000000000000000000000000000;
20;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00015622138977050781466840434497100886801490560174;0.00000241610713956106424658127306004384848847621470;1.24970841407775878906250000000000000000000000000000;1.26533055305480957031250000000000000000000000000000;
21;0.00015620708465576170682377610265945122591801919043;0.00000241566467636857769318327326946160837906063534;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;1.24970698356628417968750000000000000000000000000000;1.26532769203186035156250000000000000000000000000000;
