Nº Prueba;Tiempo medio procesar;Varianza tiempo procesar;Tiempo medio encriptar;Varianza tiempo encriptar;Tiempo envio;Tiempo total;
19;0.00015619754791259765299739348254348669797764159739;0.00000241536972341691613775185344670237697073389427;0.00015498638153076170573957393017394679191056638956;0.00000237805706753988604421870718674814071391665493;1.25012063980102539062500000000000000000000000000000;1.28123903274536132812500000000000000000000000000000;
20;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;1.21883249282836914062500000000000000000000000000000;1.24969863891601562500000000000000000000000000000000;
21;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00015254497528076173067622389734054877408198080957;0.00000230372697885741237547058829493451526104763616;1.21888303756713867187500000000000000000000000000000;1.24972081184387207031250000000000000000000000000000;
22;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00015620470046997069336718044763046009393292479217;0.00000241559093644241330270296813642616484685277101;1.23650431632995605468750000000000000000000000000000;1.26736545562744140625000000000000000000000000000000;
23;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00015615940093994141058680868994201773602981120348;0.00000241419009169021438556985287293699116162315477;1.23412537574768066406250000000000000000000000000000;1.26532673835754394531250000000000000000000000000000;
24;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00015617847442626951823957393017394679191056638956;0.00000241477987153757590188399642650018961376190418;1.21887588500976562500000000000000000000000000000000;1.25007772445678710937500000000000000000000000000000;
25;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00015247106552124023220659565502899113198509439826;0.00000230149515629705160883397563331698165711713955;1.21884942054748535156250000000000000000000000000000;1.24968028068542480468750000000000000000000000000000;
26;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00015274286270141601020398913757247782996273599565;0.00000230970782851613964210216872752212680097727571;1.21881055831909179687500000000000000000000000000000;1.24967169761657714843750000000000000000000000000000;
27;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;1.21878314018249511718750000000000000000000000000000;1.24967503547668457031250000000000000000000000000000;
28;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00015341043472290040146702172485504434007452800870;0.00000232994138670505997057848072973040842725822586;1.21874690055847167968750000000000000000000000000000;1.24967432022094726562500000000000000000000000000000;
29;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00015374183654785157008941520739853103805216960609;0.00000234001867820552347308044570384222282655173331;1.21869063377380371093750000000000000000000000000000;1.24966979026794433593750000000000000000000000000000;
30;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00015412330627441407551042606982605320808943361044;0.00000235164536015872875412881931600495022394170519;1.23449754714965820312500000000000000000000000000000;1.26549553871154785156250000000000000000000000000000;
31;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;1.22090387344360351562500000000000000000000000000000;1.25173497200012207031250000000000000000000000000000;
32;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00011983871459960937174739348254348669797764159739;0.00000046434930768555191246341065994251984250240639;1.22373604774475097656250000000000000000000000000000;1.24777293205261230468750000000000000000000000000000;
33;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00030892133712768555554861737988403547205962240696;0.00000467655984982116093844495968712138278533529956;1.23411870002746582031250000000000000000000000000000;1.26501083374023437500000000000000000000000000000000;
34;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00031215429306030273003819131005798226397018879652;0.00000477457927201499012940860353082506151167763164;1.23571515083312988281250000000000000000000000000000;1.28254556655883789062500000000000000000000000000000;
35;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00015904188156127930880122389734054877408198080957;0.00000060710555914624809847196258011381431174413592;1.24830150604248046875000000000000000000000000000000;1.27619433403015136718750000000000000000000000000000;
36;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00030857801437377929253819131005798226397018879652;0.00000466648994103593532959892153932912606251193210;1.23446440696716308593750000000000000000000000000000;1.26532220840454101562500000000000000000000000000000;
